scenario,run_id,execution_id,input_tokens,output_tokens,total_tokens,total_cost_usd,execution_time_seconds
S1,1,20251014_025025,13426,595,14021,0.039514999999999995,178.42
S1,2,20251014_025519,7784,407,8191,0.023530000000000002,135.61
S1,3,20251014_030532,19335,999,20334,0.058327500000000004,166.82
S2,1,20251014_034519,19874,1184,21058,0.061524999999999996,185.22
S2,2,20251014_034908,20469,1169,21638,0.0628625,197.23
S2,3,20251014_035353,23333,946,24279,0.06779249999999999,177.67
S3,1,20251014_034628,18077,1494,19571,0.0601325,453.74
S3,2,20251014_035554,24065,2092,26157,0.08108250000000002,71.96
S3,3,20251014_035735,30429,2823,33252,0.1043025,84.72
