scenario,metric,mean,std,min,max,cv_percent,n_runs
S1,input_tokens,13515.0,4716.095913641565,7784.0,19335.0,34.89527128110666,3
S1,output_tokens,667.0,246.98717915443842,407.0,999.0,37.029562092119704,3
S1,total_tokens,14182.0,4958.666016850365,8191.0,20334.0,34.96450442004206,3
S1,total_cost_usd,0.0404575,0.014221643863023244,0.023530000000000002,0.058327500000000004,35.152057994248885,3
S1,execution_time_seconds,160.28333333333333,18.077979852725665,135.61,178.42,11.278764595648747,3
S2,input_tokens,21225.333333333332,1510.0111110702317,19874.0,23333.0,7.114192683602449,3
S2,output_tokens,1099.6666666666667,108.8311638374883,946.0,1184.0,9.896741179523035,3
S2,total_tokens,22325.0,1401.829043309728,21058.0,24279.0,6.279189443716586,3
S2,total_cost_usd,0.06405999999999999,0.0026951677436973472,0.061524999999999996,0.06779249999999999,4.207255297685526,3
S2,execution_time_seconds,186.70666666666668,8.054234221134179,177.67,197.23,4.3138439376209625,3
S3,input_tokens,24190.333333333332,5043.461597840207,18077.0,30429.0,20.849078548622206,3
S3,output_tokens,2136.3333333333335,543.4668547595356,1494.0,2823.0,25.43923489278525,3
S3,total_tokens,26326.666666666668,5586.533232296712,19571.0,33252.0,21.220055326525873,3
S3,total_cost_usd,0.08183916666666667,0.018040262993894766,0.0601325,0.1043025,22.04355656182728,3
S3,execution_time_seconds,203.47333333333336,177.04191167316537,71.96,453.74,87.00988418130076,3
